id,client,subject,description,status,amount,executor,created_by,created_at,updated_at
23983,ООО Клиент_p8MZ2P,Кредит на развитие,Описание_BhkZBg,processed,1910242.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23982,ООО Клиент_PB10nY,Кредит на развитие,Описание_ilq5YE,processed,1589146.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23981,ООО Клиент_2WpxCI,Рефинансирование,Описание_JEHU2G,processed,1663809.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23980,ООО Клиент_7ZSZWU,Рефинансирование,Описание_0M86lb,processed,856780.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23979,ООО Клиент_vliujW,Кредит на развитие,Описание_1XnhkM,processed,334658.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23978,ООО Клиент_tLZgsZ,Сайт,Описание_8eQxnR,processed,227488.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23977,ООО Клиент_JHNAjl,Рефинансирование,Описание_hM3D5P,processed,1500507.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23976,ООО Клиент_BDIRYI,Кредит на развитие,Описание_XYwNiW,processed,605159.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23975,ООО Клиент_sLGFat,Кредит на развитие,Описание_VQXCSt,processed,517941.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23974,ООО Клиент_bCUCdt,Кредит на развитие,Описание_7UB1GC,processed,1187904.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23973,ООО Клиент_maTSns,Рефинансирование,Описание_uZOhtP,processed,823688.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23972,ООО Клиент_UCrGp7,Рефинансирование,Описание_NQvWwY,processed,1783495.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23971,ООО Клиент_ksooN2,Сайт,Описание_uIb9VG,processed,15326.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23970,ООО Клиент_reWRO6,Сайт,Описание_bw0A1R,processed,924757.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23969,ООО Клиент_zTue9V,Рефинансирование,Описание_nVOuGn,processed,1649729.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23968,ООО Клиент_YNVAsM,Сайт,Описание_XMwFIk,processed,1917169.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23967,ООО Клиент_LE8XrV,Рефинансирование,Описание_9vEgY9,processed,1332108.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23966,ООО Клиент_5fLbYR,Сайт,Описание_ovuIAn,processed,252591.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23965,ООО Клиент_KzruUn,Рефинансирование,Описание_9PCOCH,processed,264183.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23964,ООО Клиент_690eCA,Рефинансирование,Описание_4VEdwm,processed,1829859.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23963,ООО Клиент_j5kjDY,Кредит на развитие,Описание_dUCbUD,processed,960848.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23962,ООО Клиент_zHEgkl,Кредит на развитие,Описание_jiXJdm,processed,1503934.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23961,ООО Клиент_fk0Jzr,Сайт,Описание_fSFwrm,processed,163286.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23960,ООО Клиент_gLFhZ9,Сайт,Описание_CsCYKX,processed,1662639.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23959,ООО Клиент_Vk1gAd,Сайт,Описание_Ve1sdb,processed,1554251.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23958,ООО Клиент_Y7acSU,Сайт,Описание_dZDCBn,processed,1149102.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23957,ООО Клиент_L52k9Y,Сайт,Описание_lnwYDJ,processed,85639.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23956,ООО Клиент_HAyacg,Сайт,Описание_91cRQP,processed,1562100.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23955,ООО Клиент_EGLuOd,Рефинансирование,Описание_VnvWql,processed,1968391.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23954,ООО Клиент_UQMTmI,Рефинансирование,Описание_CruwlD,processed,128567.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23953,ООО Клиент_tBXmox,Сайт,Описание_tIbiHn,processed,1771918.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23952,ООО Клиент_E4ant2,Кредит на развитие,Описание_EG1xhK,processed,389569.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23951,ООО Клиент_Q2tv0I,Кредит на развитие,Описание_eH2L1j,processed,1473196.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23950,ООО Клиент_DVUg6h,Рефинансирование,Описание_WQ20Pe,processed,51118.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23949,ООО Клиент_JNtirR,Кредит на развитие,Описание_3JDbuC,processed,1887895.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23948,ООО Клиент_LpkU4N,Рефинансирование,Описание_RrhUcI,processed,1407876.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23947,ООО Клиент_LaTOAo,Рефинансирование,Описание_UzBywf,processed,804636.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23946,ООО Клиент_eknk3c,Сайт,Описание_AhZQpc,processed,888600.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23945,ООО Клиент_nvYLgr,Кредит на развитие,Описание_VXSGMH,processed,1886725.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23944,ООО Клиент_7z975y,Кредит на развитие,Описание_t8Vl1P,processed,1022920.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23943,ООО Клиент_UZKjta,Рефинансирование,Описание_VBrp7O,processed,1010339.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23942,ООО Клиент_WLE9or,Сайт,Описание_PTnal7,processed,1157039.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23941,ООО Клиент_da5aj2,Сайт,Описание_8ZIvT1,processed,116839.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23940,ООО Клиент_nhUn4Y,Кредит на развитие,Описание_mcQyhE,processed,1471461.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23939,ООО Клиент_QX0Fe2,Кредит на развитие,Описание_SJkJFh,processed,1104621.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23938,ООО Клиент_rMFasF,Рефинансирование,Описание_FpQkdH,processed,391172.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23937,ООО Клиент_cGFJYX,Кредит на развитие,Описание_5ZjgyW,processed,1602198.0,SL1K,1,2025-10-28 11:43:50,2025-10-28 11:43:50
23936,ООО Клиент_U106ys,Сайт,Описание_UlLc00,processed,1764854.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23935,ООО Клиент_zdtP1V,Рефинансирование,Описание_SNcdQc,processed,771502.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23934,ООО Клиент_0N1cjO,Сайт,Описание_yvjcbu,processed,888557.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23933,ООО Клиент_9s3dav,Рефинансирование,Описание_oMICjB,processed,1052401.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23932,ООО Клиент_HW9sKM,Сайт,Описание_iq72D6,processed,1384085.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23931,ООО Клиент_fkMoOR,Сайт,Описание_UM6n4S,processed,1048222.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23930,ООО Клиент_az3WV1,Сайт,Описание_3G7PDD,processed,1563614.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23929,ООО Клиент_Y9Rwtn,Сайт,Описание_mnUJlo,processed,260202.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23928,ООО Клиент_djfhXG,Сайт,Описание_9env1u,processed,1936293.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23927,ООО Клиент_nEjaTm,Кредит на развитие,Описание_oN11dm,processed,406318.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23926,ООО Клиент_51Oo9Z,Кредит на развитие,Описание_ae8DTC,processed,1767704.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23925,ООО Клиент_C2e05R,Рефинансирование,Описание_0860lu,processed,1090662.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23924,ООО Клиент_BU0IEn,Сайт,Описание_TzePZh,processed,770920.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23923,ООО Клиент_52iQ3h,Сайт,Описание_1GsdCv,processed,1452177.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23922,ООО Клиент_Zsydyt,Сайт,Описание_NI2Iw2,processed,1740741.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
23921,ООО Клиент_U7zbds,Сайт,Описание_Vxl4gd,processed,1684272.0,SL1K,1,2025-10-28 11:43:49,2025-10-28 11:43:49
